GEOID	County	Population5YearsAndOver	SpeakALanguageOtherThanEnglish	Spanish	IndoEuropean	AsianPacificIsland	Other
US01001	"Autauga County, Alabama"	52163	2256	1356	110	649	141
US01003	"Baldwin County, Alabama"	201141	10871	7362	2589	848	72
US01005	"Barbour County, Alabama"	24012	1715	1384	162	126	43
US01007	"Bibb County, Alabama"	21178	487	432	55	0	0
US01009	"Blount County, Alabama"	54249	4435	4112	228	48	47
US01011	"Bullock County, Alabama"	9706	330	256	58	9	7
US01013	"Butler County, Alabama"	18679	243	127	87	29	0
US01015	"Calhoun County, Alabama"	108010	4697	3565	440	600	92
US01017	"Chambers County, Alabama"	31617	769	386	117	266	0
US01019	"Cherokee County, Alabama"	24716	380	294	16	53	17
US01021	"Chilton County, Alabama"	41296	3108	2782	154	172	0
US01023	"Choctaw County, Alabama"	12246	196	126	70	0	0
US01025	"Clarke County, Alabama"	22751	196	149	13	34	0
US01027	"Clay County, Alabama"	12657	400	374	26	0	0
US01029	"Cleburne County, Alabama"	14067	405	356	43	0	6
US01031	"Coffee County, Alabama"	48455	3122	2091	405	582	44
US01033	"Colbert County, Alabama"	51632	1395	898	300	168	29
US01035	"Conecuh County, Alabama"	11694	52	9	8	35	0
US01037	"Coosa County, Alabama"	10393	71	70	1	0	0
US01039	"Covington County, Alabama"	35035	580	350	52	158	20
US01041	"Crenshaw County, Alabama"	13056	256	68	42	146	0
US01043	"Cullman County, Alabama"	77738	3120	2648	246	185	41
US01045	"Dale County, Alabama"	46046	2867	2046	405	394	22
US01047	"Dallas County, Alabama"	36756	532	256	111	111	54
US01049	"DeKalb County, Alabama"	67050	8659	8478	66	112	3
US01051	"Elmore County, Alabama"	76407	2637	1553	513	468	103
US01053	"Escambia County, Alabama"	34954	500	351	23	94	32
US01055	"Etowah County, Alabama"	96832	3989	2631	631	404	323
US01057	"Fayette County, Alabama"	15618	207	106	55	46	0
US01059	"Franklin County, Alabama"	29247	4722	4368	26	95	233
US01061	"Geneva County, Alabama"	24977	917	743	27	120	27
US01063	"Greene County, Alabama"	7746	24	16	0	0	8
US01065	"Hale County, Alabama"	13825	154	89	47	9	9
US01067	"Henry County, Alabama"	16244	344	252	66	15	11
US01069	"Houston County, Alabama"	98301	3699	2117	818	631	133
US01071	"Jackson County, Alabama"	49096	715	529	41	130	15
US01073	"Jefferson County, Alabama"	617160	35696	21184	6293	5684	2535
US01075	"Lamar County, Alabama"	13163	136	122	10	4	0
US01077	"Lauderdale County, Alabama"	87771	3038	1843	618	422	155
US01079	"Lawrence County, Alabama"	31279	577	450	18	72	37
US01081	"Lee County, Alabama"	151625	11104	3973	2057	4548	526
US01083	"Limestone County, Alabama"	89510	5980	4447	827	506	200
US01085	"Lowndes County, Alabama"	9466	40	40	0	0	0
US01087	"Macon County, Alabama"	17874	440	312	89	20	19
US01089	"Madison County, Alabama"	341026	23686	11521	5809	4929	1427
US01091	"Marengo County, Alabama"	18352	102	38	39	22	3
US01093	"Marion County, Alabama"	28314	886	652	85	93	56
US01095	"Marshall County, Alabama"	89028	11014	9449	1241	223	101
US01097	"Mobile County, Alabama"	386912	17818	7576	2982	5375	1885
US01099	"Monroe County, Alabama"	20135	89	38	38	13	0
US01101	"Montgomery County, Alabama"	211595	13110	5754	1784	4455	1117
US01103	"Morgan County, Alabama"	112032	9076	7585	910	244	337
US01105	"Perry County, Alabama"	8809	112	90	22	0	0
US01107	"Pickens County, Alabama"	19186	962	896	50	8	8
US01109	"Pike County, Alabama"	31507	1831	467	389	964	11
US01111	"Randolph County, Alabama"	21330	446	268	178	0	0
US01113	"Russell County, Alabama"	53794	3533	2315	594	503	121
US01115	"St. Clair County, Alabama"	82818	2162	1402	258	391	111
US01117	"Shelby County, Alabama"	200991	16536	10433	2785	2541	777
US01119	"Sumter County, Alabama"	12082	407	97	25	200	85
US01121	"Talladega County, Alabama"	76121	2501	1498	583	208	212
US01123	"Tallapoosa County, Alabama"	38284	1000	862	81	46	11
US01125	"Tuscaloosa County, Alabama"	194903	10776	5953	2171	2207	445
US01127	"Walker County, Alabama"	60187	1405	1026	62	306	11
US01129	"Washington County, Alabama"	15740	201	139	42	20	0
US01131	"Wilcox County, Alabama"	10010	275	59	16	0	200
US01133	"Winston County, Alabama"	22469	572	496	42	11	23
US02013	"Aleutians East Borough, Alaska"	3276	1107	256	52	645	154
US02016	"Aleutians West Census Area, Alaska"	5509	3204	615	127	2234	228
US02020	"Anchorage Municipality, Alaska"	272334	48600	13458	6128	23472	5542
US02050	"Bethel Census Area, Alaska"	16299	10223	193	149	270	9611
US02060	"Bristol Bay Borough, Alaska"	827	57	24	2	8	23
US02068	"Denali Borough, Alaska"	2182	260	33	91	116	20
US02070	"Dillingham Census Area, Alaska"	4492	1708	76	39	44	1549
US02090	"Fairbanks North Star Borough, Alaska"	91264	9154	2871	1821	2663	1799
US02100	"Haines Borough, Alaska"	2333	195	79	55	18	43
US02105	"Hoonah-Angoon Census Area, Alaska"	2049	246	46	49	34	117
US02110	"Juneau City and Borough, Alaska"	30352	3897	1206	444	1726	521
US02122	"Kenai Peninsula Borough, Alaska"	54872	4430	1751	1272	694	713
US02130	"Ketchikan Gateway Borough, Alaska"	13003	1427	221	138	865	203
US02150	"Kodiak Island Borough, Alaska"	12460	3359	726	113	2379	141
US02158	"Kusilvak Census Area, Alaska"	7174	2689	82	3	17	2587
US02164	"Lake and Peninsula Borough, Alaska"	1306	148	3	12	22	111
US02170	"Matanuska-Susitna Borough, Alaska"	97852	6095	1622	2467	1330	676
US02180	"Nome Census Area, Alaska"	9001	2794	123	117	162	2392
US02185	"North Slope Borough, Alaska"	8999	2957	211	177	543	2026
US02188	"Northwest Arctic Borough, Alaska"	6897	2457	86	90	87	2194
US02195	"Petersburg Borough, Alaska"	3048	512	320	30	138	24
US02198	"Prince of Wales-Hyder Census Area, Alaska"	6027	341	89	18	73	161
US02220	"Sitka City and Borough, Alaska"	8257	1025	330	129	438	128
US02230	"Skagway Municipality, Alaska"	1046	115	46	24	5	40
US02240	"Southeast Fairbanks Census Area, Alaska"	6361	1215	209	781	70	155
US02261	"Valdez-Cordova Census Area, Alaska"	8659	887	311	85	378	113
US02275	"Wrangell City and Borough, Alaska"	2382	92	63	4	15	10
US02282	"Yakutat City and Borough, Alaska"	593	74	14	0	31	29
US02290	"Yukon-Koyukuk Census Area, Alaska"	4977	666	35	36	50	545
US04001	"Apache County, Arizona"	66698	35882	2190	148	267	33277
US04003	"Cochise County, Arizona"	118453	33551	29454	1571	1895	631
US04005	"Coconino County, Arizona"	133512	31986	8587	1981	1883	19535
US04007	"Gila County, Arizona"	50611	8645	4391	643	331	3280
US04009	"Graham County, Arizona"	35231	7105	5206	205	126	1568
US04011	"Greenlee County, Arizona"	8773	1878	1618	0	71	189
US04012	"La Paz County, Arizona"	19831	3579	3224	87	80	188
US04013	"Maricopa County, Arizona"	4050301	1093087	826178	99371	106537	61001
US04015	"Mohave County, Arizona"	198586	20814	16772	1513	1333	1196
US04017	"Navajo County, Arizona"	101540	38116	6119	780	711	30506
US04019	"Pima County, Arizona"	968882	273063	224767	16818	18221	13257
US04021	"Pinal County, Arizona"	407869	86550	71131	4803	5350	5266
US04023	"Santa Cruz County, Arizona"	43169	34392	34057	211	124	0
US04025	"Yavapai County, Arizona"	218478	23948	18222	3299	1537	890
US04027	"Yuma County, Arizona"	194397	103390	100188	1266	1244	692
US05001	"Arkansas County, Arkansas"	16772	331	275	31	8	17
US05003	"Ashley County, Arkansas"	19036	992	954	25	13	0
US05005	"Baxter County, Arkansas"	39691	710	357	213	137	3
US05007	"Benton County, Arkansas"	247049	33529	25063	1818	6208	440
US05009	"Boone County, Arkansas"	34996	541	192	251	51	47
US05011	"Bradley County, Arkansas"	10211	1714	1498	216	0	0
US05013	"Calhoun County, Arkansas"	4935	162	129	25	8	0
US05015	"Carroll County, Arkansas"	26384	3459	2911	141	407	0
US05017	"Chicot County, Arkansas"	10009	674	581	34	51	8
US05019	"Clark County, Arkansas"	21185	1048	860	94	86	8
US05021	"Clay County, Arkansas"	14068	192	170	22	0	0
US05023	"Cleburne County, Arkansas"	23921	577	316	101	145	15
US05025	"Cleveland County, Arkansas"	7706	76	68	8	0	0
US05027	"Columbia County, Arkansas"	22331	712	473	82	135	22
US05029	"Conway County, Arkansas"	19604	626	497	59	70	0
US05031	"Craighead County, Arkansas"	99879	5726	3514	1304	659	249
US05033	"Crawford County, Arkansas"	58791	4218	3030	352	836	0
US05035	"Crittenden County, Arkansas"	44906	1287	789	252	225	21
US05037	"Cross County, Arkansas"	15758	61	42	12	7	0
US05039	"Dallas County, Arkansas"	6901	116	103	13	0	0
US05041	"Desha County, Arkansas"	10961	733	653	0	54	26
US05043	"Drew County, Arkansas"	17294	481	423	15	6	37
US05045	"Faulkner County, Arkansas"	115984	6457	3368	1371	1139	579
US05047	"Franklin County, Arkansas"	16614	340	175	92	73	0
US05049	"Fulton County, Arkansas"	11628	148	84	59	0	5
US05051	"Garland County, Arkansas"	93295	5897	4141	1289	447	20
US05053	"Grant County, Arkansas"	17166	432	367	65	0	0
US05055	"Greene County, Arkansas"	42023	655	434	108	113	0
US05057	"Hempstead County, Arkansas"	20284	2236	2159	43	34	0
US05059	"Hot Spring County, Arkansas"	31966	816	612	88	92	24
US05061	"Howard County, Arkansas"	12379	1609	1442	144	23	0
US05063	"Independence County, Arkansas"	34927	1647	1314	174	159	0
US05065	"Izard County, Arkansas"	12929	389	212	131	37	9
US05067	"Jackson County, Arkansas"	16125	387	306	50	29	2
US05069	"Jefferson County, Arkansas"	65111	2622	1252	623	515	232
US05071	"Johnson County, Arkansas"	24727	3456	3034	196	208	18
US05073	"Lafayette County, Arkansas"	6425	120	84	10	26	0
US05075	"Lawrence County, Arkansas"	15610	224	159	58	7	0
US05077	"Lee County, Arkansas"	8725	250	219	31	0	0
US05079	"Lincoln County, Arkansas"	12903	577	519	19	0	39
US05081	"Little River County, Arkansas"	11628	197	132	23	42	0
US05083	"Logan County, Arkansas"	20401	723	252	101	369	1
US05085	"Lonoke County, Arkansas"	67588	2831	2019	221	499	92
US05087	"Madison County, Arkansas"	15099	689	394	150	145	0
US05089	"Marion County, Arkansas"	15757	306	113	129	64	0
US05091	"Miller County, Arkansas"	40828	1016	715	79	178	44
US05093	"Mississippi County, Arkansas"	39089	1556	1328	101	125	2
US05095	"Monroe County, Arkansas"	6614	93	63	20	10	0
US05097	"Montgomery County, Arkansas"	8537	330	293	15	22	0
US05099	"Nevada County, Arkansas"	7848	13	11	2	0	0
US05101	"Newton County, Arkansas"	7461	44	18	11	6	9
US05103	"Ouachita County, Arkansas"	22382	500	329	116	19	36
US05105	"Perry County, Arkansas"	9775	245	226	19	0	0
US05107	"Phillips County, Arkansas"	17217	200	98	68	0	34
US05109	"Pike County, Arkansas"	10182	536	491	7	26	12
US05111	"Poinsett County, Arkansas"	22365	519	420	99	0	0
US05113	"Polk County, Arkansas"	18915	1255	1061	146	48	0
US05115	"Pope County, Arkansas"	59777	4749	3761	447	449	92
US05117	"Prairie County, Arkansas"	7747	93	52	25	0	16
US05119	"Pulaski County, Arkansas"	366675	29214	17831	4668	4959	1756
US05121	"Randolph County, Arkansas"	16628	421	241	79	101	0
US05123	"St. Francis County, Arkansas"	24234	976	769	95	99	13
US05125	"Saline County, Arkansas"	112433	5704	3895	549	1140	120
US05127	"Scott County, Arkansas"	9635	328	253	0	65	10
US05129	"Searcy County, Arkansas"	7525	62	25	0	17	20
US05131	"Sebastian County, Arkansas"	119180	18029	13373	613	3849	194
US05133	"Sevier County, Arkansas"	15718	5119	4949	10	118	42
US05135	"Sharp County, Arkansas"	16295	173	129	34	10	0
US05137	"Stone County, Arkansas"	11905	172	80	61	31	0
US05139	"Union County, Arkansas"	36818	1574	1275	102	197	0
US05141	"Van Buren County, Arkansas"	15862	300	242	42	16	0
US05143	"Washington County, Arkansas"	216280	38920	28397	2550	7496	477
US05145	"White County, Arkansas"	73880	4563	3383	561	418	201
US05147	"Woodruff County, Arkansas"	6154	17	17	0	0	0
US05149	"Yell County, Arkansas"	20093	3822	3568	56	191	7
US06001	"Alameda County, California"	1559905	711354	254710	127120	304466	25058
US06003	"Alpine County, California"	995	97	57	0	8	32
US06005	"Amador County, California"	36902	3912	2798	538	357	219
US06007	"Butte County, California"	213433	32671	20877	3208	7482	1104
US06009	"Calaveras County, California"	43612	3160	1985	488	491	196
US06011	"Colusa County, California"	19878	10268	9971	205	90	2
US06013	"Contra Costa County, California"	1076802	385060	197309	65979	108487	13285
US06015	"Del Norte County, California"	25963	3154	1849	535	557	213
US06017	"El Dorado County, California"	179893	21903	11419	4946	4896	642
US06019	"Fresno County, California"	906810	404428	313461	30169	53859	6939
US06021	"Glenn County, California"	25927	9855	8967	215	589	84
US06023	"Humboldt County, California"	128705	15054	9468	1552	3122	912
US06025	"Imperial County, California"	165621	126737	124272	690	1406	369
US06027	"Inyo County, California"	16979	2914	2243	320	85	266
US06029	"Kern County, California"	817372	361421	319861	14042	21498	6020
US06031	"Kings County, California"	139049	57662	50960	2238	3755	709
US06033	"Lake County, California"	60464	9814	8710	672	390	42
US06035	"Lassen County, California"	29390	5404	4428	315	546	115
US06037	"Los Angeles County, California"	9470085	5358498	3716660	503528	1032901	105409
US06039	"Madera County, California"	143822	65124	59644	2420	1439	1621
US06041	"Marin County, California"	247779	54220	29478	14659	8230	1853
US06043	"Mariposa County, California"	16684	1598	1117	167	200	114
US06045	"Mendocino County, California"	82148	17620	15054	1197	1213	156
US06047	"Merced County, California"	250071	133339	111962	10605	10113	659
US06049	"Modoc County, California"	8463	1081	973	14	90	4
US06051	"Mono County, California"	13810	3635	2807	216	323	289
US06053	"Monterey County, California"	401907	221837	195450	8973	14682	2732
US06055	"Napa County, California"	132570	46259	35563	3920	6369	407
US06057	"Nevada County, California"	95067	7239	4122	2200	654	263
US06059	"Orange County, California"	2980221	1358516	751190	127031	447749	32546
US06061	"Placer County, California"	364992	56568	24131	16071	14043	2323
US06063	"Plumas County, California"	17852	1407	974	270	163	0
US06065	"Riverside County, California"	2253840	925348	768866	43546	96395	16541
US06067	"Sacramento County, California"	1425477	465669	197243	113173	141230	14023
US06069	"San Benito County, California"	56493	22451	20165	1116	852	318
US06071	"San Bernardino County, California"	1995247	840302	693696	29020	100188	17398
US06073	"San Diego County, California"	3106393	1167855	765532	101178	248518	52627
US06075	"San Francisco County, California"	835425	357995	89589	50109	210209	8088
US06077	"San Joaquin County, California"	690215	282051	180312	35046	62069	4624
US06079	"San Luis Obispo County, California"	269011	48299	35973	5389	5603	1334
US06081	"San Mateo County, California"	723483	330731	133552	49606	140108	7465
US06083	"Santa Barbara County, California"	416670	168015	139625	9957	15677	2756
US06085	"Santa Clara County, California"	1810962	959751	319063	166163	449718	24807
US06087	"Santa Cruz County, California"	259770	83458	67419	7294	7472	1273
US06089	"Shasta County, California"	168668	13953	7561	3149	2773	470
US06091	"Sierra County, California"	2917	283	215	56	12	0
US06093	"Siskiyou County, California"	41141	3654	2582	531	420	121
US06095	"Solano County, California"	415031	124243	70244	9470	42456	2073
US06097	"Sonoma County, California"	474635	121354	94122	11845	12961	2426
US06099	"Stanislaus County, California"	503818	216108	168790	22003	14694	10621
US06101	"Sutter County, California"	89552	33398	18838	13068	1430	62
US06103	"Tehama County, California"	60073	11355	10101	441	559	254
US06105	"Trinity County, California"	12114	1041	760	91	187	3
US06107	"Tulare County, California"	424107	217377	200838	5936	9003	1600
US06109	"Tuolumne County, California"	51611	4076	2656	829	526	65
US06111	"Ventura County, California"	796738	305683	239799	22105	35576	8203
US06113	"Yolo County, California"	205040	77928	45777	14048	16944	1159
US06115	"Yuba County, California"	70367	17830	12728	1242	3481	379
US08001	"Adams County, Colorado"	467689	135585	110522	9240	12436	3387
US08003	"Alamosa County, Colorado"	14991	4508	3786	74	124	524
US08005	"Arapahoe County, Colorado"	604148	141151	75412	23110	25523	17106
US08007	"Archuleta County, Colorado"	12651	1099	900	128	51	20
US08009	"Baca County, Colorado"	3381	250	225	15	0	10
US08011	"Bent County, Colorado"	5590	695	684	7	4	0
US08013	"Boulder County, Colorado"	307715	48182	26848	10717	9064	1553
US08014	"Broomfield County, Colorado"	64188	7832	3291	1774	2470	297
US08015	"Chaffee County, Colorado"	18816	1280	695	328	242	15
US08017	"Cheyenne County, Colorado"	1809	281	204	51	26	0
US08019	"Clear Creek County, Colorado"	9120	613	362	181	25	45
US08021	"Conejos County, Colorado"	7588	2238	1996	200	30	12
US08023	"Costilla County, Colorado"	3589	1563	1541	19	3	0
US08025	"Crowley County, Colorado"	5590	623	520	85	16	2
US08027	"Custer County, Colorado"	4727	266	107	118	0	41
US08029	"Delta County, Colorado"	29057	2791	2199	289	102	201
US08031	"Denver County, Colorado"	662746	169271	126922	15794	15590	10965
US08033	"Dolores County, Colorado"	1735	47	37	6	4	0
US08035	"Douglas County, Colorado"	316161	30142	11531	9824	7581	1206
US08037	"Eagle County, Colorado"	51594	14873	13111	1158	378	226
US08039	"Elbert County, Colorado"	24576	1107	708	272	127	0
US08041	"El Paso County, Colorado"	651807	77378	49391	13641	11428	2918
US08043	"Fremont County, Colorado"	45474	3178	2176	422	153	427
US08045	"Garfield County, Colorado"	55070	14662	13621	731	285	25
US08047	"Gilpin County, Colorado"	5874	396	159	178	0	59
US08049	"Grand County, Colorado"	14728	877	707	75	95	0
US08051	"Gunnison County, Colorado"	16063	1724	1310	391	6	17
US08053	"Hinsdale County, Colorado"	820	27	12	0	15	0
US08055	"Huerfano County, Colorado"	6447	613	526	47	40	0
US08057	"Jackson County, Colorado"	1228	109	109	0	0	0
US08059	"Jefferson County, Colorado"	544918	57599	34171	11369	9708	2351
US08061	"Kiowa County, Colorado"	1312	36	27	9	0	0
US08063	"Kit Carson County, Colorado"	7022	888	828	60	0	0
US08065	"Lake County, Colorado"	7552	1400	1292	62	3	43
US08067	"La Plata County, Colorado"	52717	4960	3224	599	354	783
US08069	"Larimer County, Colorado"	327055	30539	17580	6574	4816	1569
US08071	"Las Animas County, Colorado"	13646	1954	1648	233	45	28
US08073	"Lincoln County, Colorado"	5277	513	458	21	12	22
US08075	"Logan County, Colorado"	20730	2138	1836	88	208	6
US08077	"Mesa County, Colorado"	142616	9769	7771	1199	613	186
US08079	"Mineral County, Colorado"	809	19	9	10	0	0
US08081	"Moffat County, Colorado"	12238	1691	1373	163	103	52
US08083	"Montezuma County, Colorado"	24654	2790	1421	191	179	999
US08085	"Montrose County, Colorado"	39351	6897	6182	345	329	41
US08087	"Morgan County, Colorado"	26465	7157	5822	293	138	904
US08089	"Otero County, Colorado"	17205	2281	2094	65	118	4
US08091	"Ouray County, Colorado"	4591	392	263	124	0	5
US08093	"Park County, Colorado"	17160	433	238	136	7	52
US08095	"Phillips County, Colorado"	3931	888	879	2	7	0
US08097	"Pitkin County, Colorado"	17108	2778	1427	1065	222	64
US08099	"Prowers County, Colorado"	11208	2566	2429	20	59	58
US08101	"Pueblo County, Colorado"	156378	19272	17122	1408	490	252
US08103	"Rio Blanco County, Colorado"	5983	321	303	10	8	0
US08105	"Rio Grande County, Colorado"	10658	2630	2387	209	0	34
US08107	"Routt County, Colorado"	23972	1505	1119	138	57	191
US08109	"Saguache County, Colorado"	6246	1720	1560	126	14	20
US08111	"San Juan County, Colorado"	564	96	66	30	0	0
US08113	"San Miguel County, Colorado"	7747	1215	885	191	139	0
US08115	"Sedgwick County, Colorado"	2082	147	123	7	17	0
US08117	"Summit County, Colorado"	29340	4458	3357	538	238	325
US08119	"Teller County, Colorado"	23626	863	362	458	27	16
US08121	"Washington County, Colorado"	4615	225	163	31	18	13
US08123	"Weld County, Colorado"	283292	54648	48297	2197	2929	1225
US08125	"Yuma County, Colorado"	9277	1725	1685	40	0	0
US09001	"Fairfield County, Connecticut"	891794	264740	143689	88172	23881	8998
US09003	"Hartford County, Connecticut"	845758	211203	109222	68533	22400	11048
US09005	"Litchfield County, Connecticut"	174549	18020	7224	8165	1947	684
US09007	"Middlesex County, Connecticut"	156317	16694	6242	7546	2080	826
US09009	"New Haven County, Connecticut"	813010	180441	106573	44319	18180	11369
US09011	"New London County, Connecticut"	254092	34555	17772	8931	6761	1091
US09013	"Tolland County, Connecticut"	144920	15515	4380	6275	4188	672
US09015	"Windham County, Connecticut"	110826	13588	9748	2339	1127	374
US10001	"Kent County, Delaware"	165657	17140	7741	5615	2552	1232
US10003	"New Castle County, Delaware"	523836	78957	39933	16346	16405	6273
US10005	"Sussex County, Delaware"	212925	23527	16094	5208	1890	335
US11001	"District of Columbia, District of Columbia"	647643	111429	58536	26842	12738	13313
US12001	"Alachua County, Florida"	251345	35631	16230	8812	9374	1215
US12003	"Baker County, Florida"	26425	1251	641	372	144	94
US12005	"Bay County, Florida"	170989	12730	6211	2918	2780	821
US12007	"Bradford County, Florida"	26010	1127	551	393	146	37
US12009	"Brevard County, Florida"	558191	59187	35265	13544	7264	3114
US12011	"Broward County, Florida"	1813971	748671	483401	211255	30585	23430
US12013	"Calhoun County, Florida"	13726	863	707	112	16	28
US12015	"Charlotte County, Florida"	175654	17850	8760	6762	1443	885
US12017	"Citrus County, Florida"	139889	8971	4940	2170	1692	169
US12019	"Clay County, Florida"	199738	22061	13167	4344	4085	465
US12021	"Collier County, Florida"	354770	119598	88017	27350	3129	1102
US12023	"Columbia County, Florida"	65754	4478	2942	920	500	116
US12027	"DeSoto County, Florida"	35042	10178	9629	391	121	37
US12029	"Dixie County, Florida"	15855	672	491	113	63	5
US12031	"Duval County, Florida"	872811	127637	60099	30488	28270	8780
US12033	"Escambia County, Florida"	294564	20575	8489	4594	6612	880
US12035	"Flagler County, Florida"	105546	15795	7049	6809	1680	257
US12037	"Franklin County, Florida"	11293	688	515	113	30	30
US12039	"Gadsden County, Florida"	43241	4723	3930	337	180	276
US12041	"Gilchrist County, Florida"	17065	859	735	77	36	11
US12043	"Glades County, Florida"	13088	2883	2476	270	14	123
US12045	"Gulf County, Florida"	14854	1004	615	252	96	41
US12047	"Hamilton County, Florida"	13697	1384	914	354	45	71
US12049	"Hardee County, Florida"	25374	9570	8925	390	215	40
US12051	"Hendry County, Florida"	37729	18400	17508	193	195	504
US12053	"Hernando County, Florida"	177854	19918	14300	4304	995	319
US12055	"Highlands County, Florida"	98555	18737	16238	1410	1012	77
US12057	"Hillsborough County, Florida"	1334306	395569	304724	46066	30655	14124
US12059	"Holmes County, Florida"	18515	755	568	115	47	25
US12061	"Indian River County, Florida"	147552	19593	13945	3942	1277	429
US12063	"Jackson County, Florida"	45555	2753	1858	475	192	228
US12065	"Jefferson County, Florida"	13557	1018	666	176	46	130
US12067	"Lafayette County, Florida"	8176	1726	1526	115	28	57
US12069	"Lake County, Florida"	328853	47429	36534	6969	3100	826
US12071	"Lee County, Florida"	703124	161207	123455	30050	6415	1287
US12073	"Leon County, Florida"	274717	27358	11924	6687	6511	2236
US12075	"Levy County, Florida"	38376	2760	2267	206	246	41
US12077	"Liberty County, Florida"	8032	370	275	68	0	27
US12079	"Madison County, Florida"	17559	1275	997	208	0	70
US12081	"Manatee County, Florida"	365836	64790	46402	12540	4719	1129
US12083	"Marion County, Florida"	335883	41267	31656	6682	2283	646
US12085	"Martin County, Florida"	152612	20449	14908	3888	1193	460
US12086	"Miami-Dade County, Florida"	2541448	1904760	1681016	183034	24036	16674
US12087	"Monroe County, Florida"	72309	16223	12565	2899	641	118
US12089	"Nassau County, Florida"	78893	4777	2752	1436	358	231
US12091	"Okaloosa County, Florida"	190331	22714	13161	4294	4958	301
US12093	"Okeechobee County, Florida"	38672	8793	8154	330	207	102
US12095	"Orange County, Florida"	1266748	466964	327215	88642	39324	11783
US12097	"Osceola County, Florida"	329600	168946	146792	14239	4453	3462
US12099	"Palm Beach County, Florida"	1389825	446661	264670	145936	20826	15229
US12101	"Pasco County, Florida"	497328	71606	45827	15508	7317	2954
US12103	"Pinellas County, Florida"	922238	132432	60107	44525	21730	6070
US12105	"Polk County, Florida"	646231	144148	117344	17585	7215	2004
US12107	"Putnam County, Florida"	69072	6360	5436	444	441	39
US12109	"St. Johns County, Florida"	232358	19717	9091	6307	3372	947
US12111	"St. Lucie County, Florida"	296682	69510	44865	20044	2691	1910
US12113	"Santa Rosa County, Florida"	164837	10163	5080	2869	1920	294
US12115	"Sarasota County, Florida"	404559	52344	28275	18294	3931	1844
US12117	"Seminole County, Florida"	436952	102211	69452	18586	10518	3655
US12119	"Sumter County, Florida"	122764	8689	5772	1902	830	185
US12121	"Suwannee County, Florida"	41861	3744	3074	369	62	239
US12123	"Taylor County, Florida"	20864	1806	1250	349	163	44
US12125	"Union County, Florida"	14410	806	654	101	51	0
US12127	"Volusia County, Florida"	511129	70961	50999	11713	5688	2561
US12129	"Wakulla County, Florida"	30811	1832	933	573	196	130
US12131	"Walton County, Florida"	64228	5376	3306	1318	611	141
US12133	"Washington County, Florida"	23589	1247	735	205	174	133
US13001	"Appling County, Georgia"	17204	1830	1577	155	74	24
US13003	"Atkinson County, Georgia"	7713	1684	1684	0	0	0
US13005	"Bacon County, Georgia"	10406	737	732	5	0	0
US13007	"Baker County, Georgia"	3031	234	165	17	52	0
US13009	"Baldwin County, Georgia"	42895	1801	684	265	852	0
US13011	"Banks County, Georgia"	17698	1168	1061	66	41	0
US13013	"Barrow County, Georgia"	73530	9659	5895	1458	2109	197
US13015	"Bartow County, Georgia"	98059	8777	7055	1062	569	91
US13017	"Ben Hill County, Georgia"	15938	869	824	25	6	14
US13019	"Berrien County, Georgia"	17944	1070	841	87	142	0
US13021	"Bibb County, Georgia"	142667	7687	3601	1947	1576	563
US13023	"Bleckley County, Georgia"	12053	245	221	0	18	6
US13025	"Brantley County, Georgia"	17636	604	341	184	65	14
US13027	"Brooks County, Georgia"	14607	527	361	58	66	42
US13029	"Bryan County, Georgia"	34357	2946	1513	1101	258	74
US13031	"Bulloch County, Georgia"	71796	3658	2117	644	704	193
US13033	"Burke County, Georgia"	20874	672	519	87	63	3
US13035	"Butts County, Georgia"	22759	993	650	216	93	34
US13037	"Calhoun County, Georgia"	6164	477	342	60	24	51
US13039	"Camden County, Georgia"	49411	2951	1692	659	553	47
US13043	"Candler County, Georgia"	10243	931	904	18	9	0
US13045	"Carroll County, Georgia"	109782	7675	5731	1040	719	185
US13047	"Catoosa County, Georgia"	62899	2476	1298	523	655	0
US13049	"Charlton County, Georgia"	12322	1248	1150	55	31	12
US13051	"Chatham County, Georgia"	269991	28192	15497	6424	5075	1196
US13053	"Chattahoochee County, Georgia"	9675	1351	875	276	171	29
US13055	"Chattooga County, Georgia"	23376	1100	898	42	14	146
US13057	"Cherokee County, Georgia"	232617	28241	19602	4635	2531	1473
US13059	"Clarke County, Georgia"	119470	18112	11187	2569	3018	1338
US13061	"Clay County, Georgia"	2840	82	53	29	0	0
US13063	"Clayton County, Georgia"	261911	50202	30200	3467	12363	4172
US13065	"Clinch County, Georgia"	6228	207	128	38	0	41
US13067	"Cobb County, Georgia"	703917	147423	81099	34302	19427	12595
US13069	"Coffee County, Georgia"	40084	4881	4129	616	37	99
US13071	"Colquitt County, Georgia"	42367	7597	7134	214	244	5
US13073	"Columbia County, Georgia"	141111	13369	6056	3134	3316	863
US13075	"Cook County, Georgia"	16052	759	605	100	54	0
US13077	"Coweta County, Georgia"	134547	11099	6462	2575	1475	587
US13079	"Crawford County, Georgia"	11664	189	132	57	0	0
US13081	"Crisp County, Georgia"	21268	943	791	53	90	9
US13083	"Dade County, Georgia"	15421	516	214	215	87	0
US13085	"Dawson County, Georgia"	23221	1162	857	176	106	23
US13087	"Decatur County, Georgia"	24892	824	713	60	51	0
US13089	"DeKalb County, Georgia"	696356	131266	52963	27317	24535	26451
US13091	"Dodge County, Georgia"	19764	634	488	131	15	0
